,tunes
185,d2e2d4e2d2d3e|e4d4fg3gag2|gfegged2dAGABAE2|G2A2B2A2G4G4||f2e2d4e2d2d4|e3ded3g4g2ag|e2deagfgd4A2E2|AGA2B2A2G4G4||e4a2gaa2g2f2ga|a2b2d'3bga3ag3|g3aag3g2d2f2e2|d2A2B2G2G4F2G2||e4a2b2d'2a2e2a2|a2b2d'4g2baa2ga|g2fgg2bag2e2d2e2|d2A2dBG2G4FG3
186,e2d2d4G3AG2FE|DEA2d4e2fee2d2|d2e2d4G2B2B2A2|Bd3d2e2g4ede2||e2d2d2BdG4G2F2|DEA2d4e2f2e2d2|ede2d2BdG2B2B2A2|Bd3ede2fge2gfe2||e2g2g4d2e2e2g2|f2e2e2d2f2g2g4|d2g2a2g2d2g2e2f2|d2e2d2e2gf3g2e2||e2gfg4e4e2g2|f2e2e2d2f2g2g2fg|e2agg4g4edf2|d2g2g2f2e2f2d2e2
187,d4d4BGA2d4|ABd2d3BBd3A2GF|A2G2GFE2D4dAd2|d3eed2eed3d2ed||d3BBd3BABAd4|d4dBd2ded2A2GF|G4FGE2D2E2BAdB|efe2d3ee3dgfge||fg3g4ag2aa2g2|g2fggfd2d2g2d2B2|d'2g2e3fg4abd'2|d'2bd'd'2agag3agfg||a3bd'2a2a4g2a2|g2fggfgffeded4|e2a2d'2b2b2a2b2e2|fgbd'ga2ga2dee2de
188,A2dAbd'agga3a3g|e2d2abgfefd2d2B2|d3Be2d2fgfgb2ab|ba3g2a2gf2gd4||A2dAa4d'2a2a2g2|e2d2a2g2e2d2d2B2|d3Be2a2d'2bad'2a2|a2g2d'b2d'e2d2ged2||d'4d'4d'bd'2d'4|aba2d'bd'2d'2a2e2d2|d'4bd'3d'4d'2ba|gag2abd'ae2d2e2d2||d'4bab2d'4d'4|a4a2d'2d'2age2d2|a4abe'2e'2d'2d'2a2|ga2gb2d'aefe2d2e2
189,ded2Bd3efg2g2ab|a3ffad'bgd'2ggbaf|gageefege2dfgegd'|aef2gfgaed3d4||e3dd2e2g4g2a2|bad2d'ad'2bd'aga3e|de2dageaeBedaedg|gdedd'a2d'gfdBed3||ga2ge'4d'b2d'd'2a2|bag2gabead'2ag2e2|d'2ad'd'3agba2g3e|gabaa2gde2d2d4||bd'3f'2e'2e'd'3a2b2|g4gad'ba2b2g2fe|fgbd'd'4eg3ab2a|fg3ad'3d4d4
190,d4fe3d4B2fg|e2d2d4efg2a2f2|gf2ggfe2d4BAde|f2a2g4ed3d4||e4g2e2d4dBf2|fed2ed3g2agg4|g2egg2e2ed3d4|gfg2a2fge2d2d4||gfaba2d'2d'2b2f2g2|a4ga3d'4ag3|a4ba3b4g2a2|ad'bag2f2e2d2d2e2||g2a2bad'2d'4g2d'2|e'4e'2d'2d'4g2fg|d'4d'4d'2a2a2b2|ab2ag2f2e2d2d4
191,e4e2d2d4d4|d2Bdd4g4g2e2|d4d2e2e2B2d4|g3fg2d2g4gf3||e4e2d2d4d4|d2B2d4g4g2e2|d4ede2e2B2d4|g4f2e2g2f2f2e2||e2f2f2e2f4e2d2|e4e2fega3a2g2|g4g2e2g4g2a2|a2f2f2d2f2g2g2f2||f4f2e2f4e3d|e4e2feg2a2a2g2|g2a2bd'b2b2a2a2d'b|b2g2g4a2f2fgef
192,d4f2g2d2e2d2B2|F2BAd4f2deed3|G2e2d2g2ef3d4|g2b2g2e2e4d2B2||d4f2g2ede2d2B2|F2B2d4gfd2e2d2|AGe2d2g2f2e2d4|g2b2g2e2e2d2d2e2||g2d'2d'2b2a2f2g4|f2a2d'2abd'2e2a4|e2a2d'2f2a4d'2b2|a2g2g2e2f2d2d2e2||g2d'2d'2b2a2f2g4|g2a2d'2a2d'2f2a4|a2baa4g2a2a4|a2g2g2e2f2d2d4
193,"D4D2E2GF2GF2E2|D4F2E2E2D2E2F2|DED2D4F2G2F2D2|E2G2D4D4D4||D4D2E2G2F2F2E2|D4F2E2E2D2E2F2|DED2D4G4F2DE|E2G2DED2D4D2B,D||B4d2B2B2A2A4|d4d2A2E2D2D2E2|F4G4A2BAA2G2|E2F2D4D4D4||B4d2B2B2A2A4|d4B2A2FED2D2E2|F4G4A4A2G2|E2F2D4D4D4"
194,d2B2e2B2e2A2A2e2|e2g2d2efg2a2g2e2|d4A2F2D2F2A2d2|e4d2A2G2F2F2E2||d2B2e2B2e2A2A2e2|e2f2ede2g2a2g4|d2ABAGFGD2F2A2d2|feded2A2G2E2E2d2||d'4agd'2a2g2e2b2|a4e2a2g2a2a2d'2|a2baf2e2e2d2d2fe|g2f2d2A2G2E2D2e2||d'4g2d'2d'2g2e2b2|a4e2a2g2a2a4|a4g2e2e2d2d2e2|g2e2d2A2G2F2EFE2
195,d4e2g2e4d2e2|d4d4G2F2EFED|e4e2d2e4d2B2|d4e2d2d4d4||d4e2g2fe3d2e2|d4d2BdG2FGE4|e4e2d2e4d2B2|d2e2e2d2d4d4||bag2b2d'2bd'2ba4|d'4d'2bag2f2f2e2|a4gad'2d'2b2a2f2|e2d2d4ed3d4||b2a2b2d'2b4a4|d'4d'2bag2f2f2e2|a4a2d'2d'2b2a2f2|e2d2d4e2d2d4
196,g2d2ed2ed4e2d2|e2d2d2B2d4d4|f4d4d2e2d4|d2e2d4e4d4||gfd2ded2d4e2d2|e2d2d2B2d4d4|f4d4d2e2ed3|d2e2d4e4d4||e2abd'2e'f'd'2a2a2d'2|d'2e'2e'2d'e'd'ad'2d'2b2|g2d'2d'2f'2d'2a2f2a2|g2e2d2e2e4d4||f2b2d'2e'2d'2a2a2d'2|d'2e'2f'e'3d'2b2d'2a2|a2baa2b2g2e2gfa2|g2e2d2ede4d4
197,E4G2A2d4d2Bd|A2G2AGd2B2A2G2E2|E2F2dBd2e2d2g2fg|e2d2A4d2G2A2G2||E4G2A2d4d2Bd|A2G2A2d2B2A2G2DE|E2F2d4e2d2g2e2|ed3A4d2G2A2G2||d2B2d2A2d2edd2A2|A2G2F2A2A4A2E2|G2A2d4g2f2f2e2|d2A2G2F2F2G2G2A2||d2B2d2A2d2e2d2A2|A2G2F2A2AGBAA2E2|G2A2e2f2b2d'2d'2b2|d'2a2g2a2f2d2d4
198,d2A2A2G2E4F2E2|d4B2A2F2GAA2dB|d2G2F3GG2d2B2dB|d2f2f2e2e2g2fe3||d2G2A2G2E4F2E2|d4B2A2F2GAA2d2|d2G2F3GG2d2B2d2|d2g2f2e2e2fef2e2||e4e4g4g2d2|g4g2e2d3BA4|e2d2d2e2g2f2d4|d2e2e4f4g2ef||e4e4g4g2d2|g4f2e2d2B2A4|e2d2d2e2f4d4|d2e2e4f2g2e4
199,GAdBd3Be2d2d2B2|A4d2BAd2F2F2G2|AGd2d4e2d2e2d2|g2e2d2B2A2G2G3F||G2dBd2B2e2d2d2B2|A4d2BAd2FGFG3|AGd2d4e2d2e2d2|age2d2ABA2EFBAfe||f2g2a2e2g4a2g2|e4a2fga2e2e2fg|d2efefe2f2g2a2g2|f2d2d2A2A2D2G2a2||f2g2gaf2g4g4|e2f2g2fga2e2g2a2|d'2b2b2a2a2d'2d'2a2|e3dd2A2A2G2A2G2
200,d2edf2d2f2ded'2fg|a2bd'bafegaedfef2|d2e2ed3eg3g2de|a2d'2d'agd'a3bd2f2||d2gfdefefgagd'2g2|bab2b2a2a2d2fef2|ed3e4ga2gagBd|d'bagd'abd'badAae3||a2d'2f'e'd'2d'2abg2ab|d'4e'2ad'e'd'bd'b2a2|d'2e'2e'2d'2d'2f2d'4|ad'3d'3ggeg2efe2||a2d'2e'2d'2f'e'd'2baga|d'2e'2f'2e'd'f'2g2a4|d'4d'e'f'e'd'2g2d'4|ad'3d'3aagf2d2f2
201,efG2AGA2d2GFA2G2|B2G2E2F2A2d2d3B|d2A2A2G2G2D2F2D2|G4F3EG4G4||e2G2AGA2d2G2A2G2|B2G2E2F2A2d2d4|d2Bdd2edd2BAGAE2|G4G2F2G4G4||d2e2g2e2f2d2d2e2|d4g2e2d4d4|B2d2g2d2e2F2edA2|G4E2G2AG3G4||d2edg2e2f2d2d2e2|d4g2e2d4d4|d2g2e4efd2ed3|A2F2E2G2G4G4
202,d2Bdd4A4F2E2|E2F2G2A2F2E2E2G2|BAd2ed3d2AdA3d|AGEGFEDEF2E2E2D2||d2Bdd4A4F2E2|E2GFG2A2F2E2E2G2|d4d4BAG2ABGA|D2FEedBdF2E2GFG2||G2B2d4d2B2A2d2|d4g2e2e4e2d2|A2dfg2edGABddAEF|A3GD4E2D2D2GA||G2B2d4d2B2ABd2|d4g2d2e4e2de|d3fd4d4G2AB|E4G2E2D2E2EDE2
203,e2dBfgd2g2e2e2fg|g4e2d2d4A3G|d4d2A2ded2e2d2|fga2baf2g2d'2fg3||e2d2efd2f3ee2gf|g4e2d2d2BdG2A2|d4d2A2ded2e2d2|e2d'babf2f2d'ab2a2||a4g2a2d'4d'bg2|g4e2gffg3e2a2|d'2a2a2g2a2g2f2e2|e2gad'2gaaga2d'2a2||a4g2a2d'4d'bg2|g4deg2g4f2d2|a2e'2e'2d'2b2g2e4|e2gad'2a2d'4d'2a2
204,F2G2A2d2d2edd4|e2d2d2A2d3ed4|B2A2B2d2d4AGd2|d4d4d4d4||F2G2A2d2d2edd4|e2d2d2A2d2e2d4|B2A2dBd2d4AGd2|d4d4d4d4||A2d2d2e2e4d3e|gfa2a4e3de4|ded2e4a2e2d2A2|e2d2d4d4d4||A2d2d2e2e4d2e2|f2g2a4e2d2e4|g2f2e2gfg2e2e4|d4d4d4d4
205,d4B2A2A2G2A2d2|d3ed2B2A4D2G2|A4G2FGA2F2A2BA|d2f2e4g3ag2fe||d4B2A2A2G2A2d2|d4d2BdA4DEG2|A4A2G2A2E2B4|d2g2efe2fed2eded||d4e4e2ded2B2|de3d4d2f2A4|f2d2B2d2d2f2e4|f2gagfe2d4efd2||d4de3e4d4|d2e2d4de3A4|g2a2d'2a2g2e2d2e2|f2a2f2d2d4d4
206,G4EFG2GA3G2d2|f2g2e2g2e4e2d2|A2B2F2GFF2A2E2d2|dB2dA2G2D2E2E4||A2G2E2G2A4G2d2|f2gfefg2e4e2d2|A3BG2FGFEA2E2d2|d2B2A2G2DE3E4||E2G2A2B2d4G4|d2g2d2edB2d2d2A2|F2G2G2B2G2F2E2G2|d4A2G2E4E4||E2G2A2B2d4G4|e2g2d2e2B2d2d2A2|F2G2G2B2G2F2E2A2|B3dA2G2E4E4
207,d3Ad3ed2g2edfg|g3af2agabagg2e2|ededed2fe2ded2e2|g2a2a4gfg2d4||d2edBdg2g4d2f2|agfgag3bag2g2f2|e2d2ge2gg2e2d2e2|g2a2a4fgd2ge3||d'2egd'2g'2f'e'd'2d'4|d'e'd'2d'2e'2e'f'e'd'd'2e'2|f'2e'2d'e'g'f'd'e'd'2a2d'2|d'2a2b4g2d2e4||e'd'3e'd'f'2g'f'd'2d'4|f'2e'2d'2e'd'e'f'e'2d'3b|e'd'2e'd'2f'd'd'4baba|d'2a2b4g2f2d3e
208,A2G2A3BB2A2G4|A4G2E2E2D2D2F2|A2G2G2ABA4G2E2|G2A2E2D2F2E2E4||A2G2A4B2A2G4|A4G2E2E2D2D2F2|B2G2AGA2A4GAE2|G2BAEFD2G2E2E4||d4d4d4B2d2|d4e2d2d4e2f2|g2f2f2d2d4d2A2|F2G2F2D2F2E2E4||d4d4d4B2d2|d4e2d2d4e2f2|g2f2f2d2d4d2A2|F2G2FED2F2E2E4
209,D4DEG2A4G2FE|D4A4G2E2E4|E2AGed3d4Bd3|A2GAG3AG4G4||D4E2G2A4G2F2|D4A2GAG2E2E4|FGA2dB2Ae2A2d2Ad|GFA2fd2eA2dAdB2d||F4A2d2d4d2B2|FGA2d2e2d2B2B2A2|G2Added2e3gadBd|ed3dABGG2F2A3B||F2G2A2d2d4d2B2|d4d2e2e2B2B2A2|d2Bdd2e2dedfd4|G2A2dB2GG4G4
210,dBA2A2G2A2G2d4|d4A2E2G4AG2A|dA2ddG2ddBABd3e|fd3d3eg4ede2||BdA2A2G2A2G2d4|d4d2A2B2A2FGA2|FGE2A4G2BGBdAB|d3Aag2ad4ed3||d2A2A4d2A2A4|d4A2B2G2A2F2E2|ded2dAdAd2BddAGA|d3ed3Ae4fed2||d2A2GA3d2A2A4|d4d4A2GAG2EF|GA2dd3BA3BB2d2|B2ABegafd4d4
211,"EFD2D2EDGAd2A3B|B2A2G2E2G4FEDE|D4D4E2FEG2E2|d2G2G2A2B2A2A2G2||E2B,2D2E2A2d2B2AB|dBGAG2E2G2F2D4|B,3DD4E2FEG2E2|B2G2G2A2B2A2A2G2||d2e2e2ded2A2AG2A|A2E2G2A2A2d2d4|d4d2G2d2D2B2E2|FE3F2B2dBA2A2G2||d4e4d2A2A2GA|A2E2G2A2ABd2d2BA|E4A3GA2G2d2e2|e2d2d2A2A4A2G2"
212,d4g2f2efe2d4|e4ef2ee2defed2|d4edefd4G2A2|d4d2A2G4F4||d4agf2fe3d4|e4ef3e2d2e2d2|d4fe3d4G2A2|d4d2A2A2G2FGF2||agbd'ede2g4efd2|d'4a2f2a2g2g4|f4d4e4d4|gfd2d2A2G2F2F4||a2bd'e4g4f2d2|d'4agf2a2g2g4|f4defede3d4|f2d2d2A2G4F4
213,de3g2f2f4f4|d2gegbaeeagefgd2|d'2agbag2gfegge2b|gdefgedaf2g2d4||e2fefgf2gfgff4|ed3d'agag2f2e3d|ab2aabgefegfg2df|gd3d'e2ae2dGgd3||a2b2d'4d'4b4|a2d'2d'e'2d'gba2fgd2|d'4d'3bd'2bd'd'2ge|fag2g2bBd2e2e2d2||a2d'bd'4d'4d'4|gab2d'2e'd'a4fgef|e'2d'2d'2e'd'bd'3fa2g|dfegga2dd2e2d2e2
214,d4fga2gag2e4|d2e2d2e2d2A2G2A2|dB3d2edef2ed2ed|gd'3bd'a2ag2ad2e2||d3Bfea2d'2a2g2e2|ed3d4d2A2G2A2|d2B2d3ef2e2d4|bad'2d'2a2a2dBgfed||d'bagbad'2e'd'3e'd'ab|d'4e'2d'2d'2bad'2g2|d'4a2b2d'4d'4|e'2d'2d'2bagfe2gfd2||d'2baa2d'2f'2d'2e'2d'2|f'2e'2e'2d'bd'2baa2dB|Bd3g2d'2e2gfagd'2|e'3d'd'2bag2efd2ef
215,"FGF2EFE2E4D4|FGE2GFD2D2E2B,DFE|DEFEE4F2E2GFG2|BAGAA2G2F2E2E4||FGF2EFE2E4D4|F2E2G2DED3EB,DF2|DEF2E4F2E2G4|A2G2B2G2FGE2E3F||d4d4d4A2G2|G2F2E2F2G2A2E4|e2d2d4d4dB3|d2A2B2G2GFE2E4||d4d4d4A2G2|G2F2E2F2G4E2D2|E2FGG2d2d4B2d2|d2A2A2G2F2E2E4"
216,F2AGd2e2e4d2A2|d2BAd4B2G2GFd2|A2B2dBd2e2d2d2G2|d4B2A2G2F2E4||F2AGd3ee2ded2A2|d2B2d4B2G2F2d2|A2B2d4e2d2d2G2|d4B2A2G2F2E2F2||g4g2e2e4e2d2|a2d'2agfgg2a2d2f2|e2f2d2f2f2d2g2e2|d2e2d2A2G2F2E2G2||g4g2e2e4ded2|a2d'2ag3g4d2e2|e4def2f2e2g2e2|d2e2d2A2G2F2E2F2
217,A3FBfedA3EAdBA|EGBFGd2AAd2Bd4|ede2fd3AG2BAGAB|dAd2d2Afdedfgfef||dfdGAd3FEBFGd3|FEBGA2d2d4B2ed|d4d3BGFGBBAF2|d3BdAdedBdAed2e||efe2d2g2a3d'ag3|ge2gbd'2gde3d2Bd|defabagfb2a2abg2|ga3a3dededd4||d2efa2e2e2fagfe2|d2ega2gff2e2d4|egeaga3efegdef2|de2fegadd2edd4
218,fe3f2e2d2Bdd4|B2d2d2f2f2A2d4|efg2d4A2d2B4|d2g2g2f2ed3d4||f2e2f2ded2Bdd4|B2d2d2f2f2A2d4|e2g2d4A2d2BdB2|d2g2g2efe2d2d2e2||a3bg2a2a4g2a2|ga3a2g2gfd2d2g2|fge'2d2gfg2a2g2a2|f2a2g2f2e2d2d2f2||ba2bfea2d'2a2f2a2|d'4d'2a2g2d2d2e2|a2d'2d2f2e4B2d2|d2gfg2f2e2d2d4
219,A2E2G2BAG2A2EDE2|E2DED2E2E2F2E2G2|d4G2d2A2B2E2G2|d2e2e2d2e2g2d4||A2E2G2B2A4E4|E4D2E2E2F2E2G2|d4G2d2A2B2EFG2|d2e2e2d2e3dgf3||f2d2d4f2a2f2d2|e2d2d2B2d4A2e2|g4d2e2g4e2d2|e2d2fed2e4g4||f2d2d4fea2f2d2|e4d2B2d4B4|G2A2G2d2d2g2e2d2|f2e2e2d2e2f2edf2
220,ed2ed2BAA4G4|GA3e2d2e2gfe4|e4ed3d4B2e2|d2B2B2GAA4A4||e2ded2A2A4FG3|GA3e2d2e2gfe4|e4ed3d4B2e2|d2B2B2GAA4G2A2||e2g2f2g2f2g2e4|d2e2e2g2g2b2a3b|e2b2a2b2a2g2e2d2|d4d2A2A4G2A2||f2g2e2g2fgf2e4|d2e2e2g2g2a2a4|d'2a2g2a2a4e2d2|d4B2A2A4A4
221,d4e2f2fgd2d4|f2d2e2d2d4G2d2|e2d2d2e2e2d2f2g2|a4g2e2edefd4||d4d2f2f2d2d4|g2d2e2d2d4G2d2|e2d2d2e2e2d2f2g2|a4g2e2e2d2ed2e||g4a2g2d'b2d'd'2a2|a4a2d'2efd'2g4|g4a4d'4d'2a2|a2f2g2e2e2d2d4||g4a2g2b4d'2a2|a3ga2d'2g2d'2g4|d'4d'4d'4d'2b2|a4f2e2e4d4
222,d4f2d2e2f2d4|d3Be2dBf2ABd2e2|e2d2d4g4e2g2|a2g2f2e2d4d4||d4f2d2e2f2d4|d4e2dBf2ABd2e2|e2d2d4g4e2g2|a2g2f2e2d4d4||a4b2a2f2e2d2e2|g2a2d'bgab2a2e2g2|b2d'2d'2abg2e2e2a2|b2g2f2d2d4d4||a4a4f2e2d3e|g2a2b2gad'2a2f2e2|d2Bdd4d4e2a2|b2g2f2d2d4d4
223,e4e4g2bag4|a4gae2a2d2e2d2|d4d4g2b2g2ed|gad'2a2g2e3dd4||e4e4g2b2g2ag|a4g2e2a2d2e2d2|d4d4agb2aged|a2b2a2gfe2d2d4||d'4d'2b2a2gagag2|d'2abe'2ad'd'bfgg2a2|b3d'd'2agb2a2d'2bd'|d'2e'2d'4d'4d'4||d'4d'2aba4g4|d'2b2d'2bd'd'2fea2g2|d'bd'2d'4d'4a4|d'2bae2d2d2A2A2B2
224,e4b2a2g4abgf|d2e2age2gad2d4|d2e2e4g2a2g2d'2|bag2g2e2d4d4||e2fea4gfa2a2g2|d2e2g2feg2d2d4|d2e2e4a2g2a2d'2|b2g2g2e2d4d4||d'4d'2abd'4d'4|e'2d'e'e'2ad'e'd'gab4|a2d'2d'4e'2d'2d'2e'2|d'2e'd'd'4d'4d'4||d'4d'2a2d'4d'4|e'2d'2e'd'3e'2g2b4|d'4d'ba2d'2a2g4|g2d2d2G2d2A2B2d2
225,"D2EDEGAGE4E4|D4EGAGGA2FD4|D4EF2GG2A2d3e|ged2E2G2A2G2dA2d||D3B,D2A2F2EFE4|D4EFG2G3FD4|B,2D2D3ED2E2GEGA|GF2GagBdE2FEFE2F||FEA2A2G2E2D2D4|B,2D2F2G2G4E2B,A,|E2FAG2AFEFG2G2EF|G4D2EDG2E2FGF2||D2AGA2G2A2E2D4|D4E2F2G4EDB,D|DE2FF3EE2G2EFG2|E2F2A4D4D3E"
226,"G2F2GAE2G4E2G2|GAG2E2D2E3FG2E2|G2E2A2D2A2DEE2D2|A2G2E2D2D4D4||G2F2G2E2AG3E2G2|GAG2EFD2E3FG2E2|G2F2A2D2BAE2EFD2|A2G2E2D2D4D4||d4d2A2G4E2F2|B2A2A4d4d4|d2A2G4G2D2G2E2|A2G2E2D2D4B,2D2||d4d2A2G4E2F2|A4A2B2d4d4|d4A4G2FEG4|G4E2D2D4D4"
227,E2D2DE3DEG2G2d2|d4d2G2E3FF4|F2GFD2E2G2d2G2fg|ge2ffd2ggag2e4||E2D2D2F2D2G2G2d2|d4d2GAE4GF3|G2ABG4G2d2GFd2|d4afdfefedd4||B2A2d2B2d4A2d2|d2e2f2d2A2G2G2E2|F2D2EFG2d2AGd2A2|e2deefgded2ed4||B2A2d2B2ed3A2d2|d2e2e2d2A2G2G2F2|F2E2G2A2d2AGd4|d2Bdd2edd4B2d2
228,EF2EEFG2A4G2F2|d2BdA2G2FGF2G2B2|GFE2E2G2G4G2D2|G2A2F2E2D4D4||EFE2E2G2A4G2F2|d2ABA2G2F3GG2B2|G2E2E2G2A2G2G2D2|G2A2F2E2D4D4||d4e4g4g4|g4g4e4f2g2|d4d4e4e2d2|dBA2G2E2D4D4||d4e4g4g4|g4g4e4f2g2|e4f2gff2e2e2d2|d2A2G2E2D4D4
229,G2E2D2G2d2G2d2e2|e3defedf3ef2ef|fdBdAGEGE2FGA4|ed3dBd2B2F2A4||d2AGE2AGd2G2d2e2|e3dg2a2g2e2e2de|dBG2dAGAGFBAFGAG|ededgfdfd4d4||f2g2g2a2e2d2d2ef|g4efede2gaa2ga|a2fgge2dgfA2dBGA|defeB2dBA2G2d2e2||eda2a2d'2d'2a2f4|g2fgb2d'2b2effgfe|dfdefgaeGAd2A2d2|B3dde2dd2ABA4
230,d4dBG2AGA2A2d2|d4A2d2d2e2e2d2|d4d2A2G4d2AB|e2d2B2G2G4A2d2||d4d2G2A4A2d2|d4A2d2d2e2e2d2|d4d2A2GAG2d2A2|e2d2B2G2G4FGA2||aga2a2g2f4e2f2|e2d2B2d2d2f2g2f2|a4a2g2e4d2f2|g2e2d2B2ABd2d4||g2a2a2g2fgefe2f2|e2d2B2d2d2e2g2f2|a2b2d'2a2g2e2f2e2|a2g2g2a2a2e2d4
231,d4g2e2g2f2a3g|f2e2e2g2e4d2BA|d2B2d2e2f2d2g2ab|bab2bagaag3d2ed||d4g2e2g2f2a4|f2degeg2e4d2AB|B4e2f2e2d2g2a2|d'2a2d'2a2g2d2ged2||a2bd'a2g2g2a2a2g2|f4d2e2e2d2B2E2|g2a2f4a2bag2a2|bd'3d'2bggfe2e2d2||a2b2ag3d'4a2g2|f4d2fee2d2ABE2|agbd'd'2a2b2a2g2a2|d'4b2agefe2d3e
232,G4G4D2E2D2E2|E2D2D2E2G2dBA4|E2d2FG3D2F2D2E2|F2A2G2E2G2D2E2D2||FGF2G4D2E2D2E2|E2D2D2E2G2d2A4|E2d2FG3D2F2D2E2|F2A2G2E2G2D2D2F2||B2d2e2d2d2G2F2E2|D4D2F2A2F2G2A2|BAd2e2d2d2F2B2A2|E2F2F2G2G2E2D2G2||B2d2e2d2d2G2F2E2|D4D2FEA2F2A2G2|D2EDD2E2E2D2E2G2|G2B2E2GFG2E2E4
233,GAE2F2G2B4G2F2|D2E2G4degfded2|B2A2A4d2e2d2A2|e2g2gfe2e2g2e4||GAE2FEG2B4G2F2|D2EFG4e2g2d4|B2A2A4d2e2d2A2|e2g2agefd4e2d2||d2f2f2e2d4d2A2|F2B2d2e2e2g2e2B2|d2e2e2d2d2e2g2d2|g2a2e4d4g2d2||d2fef2e2e2d2d4|A4d2g2a2g2d2g2|d'bd'2d'2b2g2f2e2d2|gfa2f2e2d4d4
234,a4abagefe2efe2|B2d2f2e2efgfefed|bd'baabgeg2f2fg2a|aga2gefaaba2e2gf||a4a4e4e4|B2d2f2e2e2g2e3d|b3abd'agag3a2eg|af3bfgbgfd2afef||d'bd'2d'2b2d'4d'2b2|d'4d'e'd'2d'4a2ga|d'e'd'2ab2ad'e'3d'3a|fa2ggb2efg2ff4||d'4d'2a2d'4d'2b2|d'4d'2e'd'd'4a2g2|e'4abd'2d'e'3d'2ba|fgf2gad'aeg3e2f2
235,G4G4GF3DE3|D4D4F2A2B2G2|F2A2G2BAGFG2E4|BA3GFE2F2E2E4||G4G4G2F2DE3|D4D4F2A2B2G2|F2A2G2B2G4E4|B2A2G2DEF2E2E4||e3de2d2e2d2e4|e2d2d2B2A2e2d2e2|d2e2e2d2d4e2f2|d2A2G2E2E4E4||e2d2e2d2e2d2e4|e2d2d2B2A2e2d2e2|d4d4d4d4|d2A2G2E2E4E4
236,d4d4BAedg2e2|e2feegedfg3fed2|d4d4G2d2g2a2|ag3gedgf3gd2ed||d4d2e2A2fef2e2|gfe2g2d2g4fe2d|d4d4G2d2gfg2|a2gfagdgfedAgded||aga2g2d'2a2d'2g3a|e'2d'2d'3ad'2e'd'abd'2|g4fgb2bd'e'2d'2b2|ad'3d'3dd2ede2d2||a4a2d'2b2d'2f2a2|d'4e'3d'd'4a2d'b|d'4e'3d'd'2e'2d'2ad'|gagaabgdde3d2e2
237,d4g2d2gaAGd'2ga|gf2ggfd2efa2a2g2|a4a2fea2g2bag2|f2g2e2g2a2g2g2f2||e3defd2g2dAa3g|bag2a2fga4a4|a2g2a2f2a2g2bag2|f4e2g2a2f2g2ef||a2g2b3d'd'bg2g2ab|d'4d'4a4gad'2|d'4d'bd'2a2d'e'g4|ef3e2f2g4g4||a4a3bd'2g2gfa2|d'4d'4b2g2a2b2|d'4b2d'2b2d'2g3f|f2e2e2baa2g2g2f2
238,d2B2e2d2d4B4|d2BAe2d2d4G2A2|A2B2d4e2d2d2f2|f2d2d2B2A3BA2G2||d3Bfed2d4B4|d2B2e2d2d4G2A2|A2B2d4e2d2d2gf|g2f2e2ded4d4||e4d2e2a4f2d2|d'2degf2gg2a2g2f2|f2e2e2g2a4g2f2|g2deed3A2G2d2f2||e4d2e2a4f2ed|b2e2f3gg2a2g2f2|a2b2d'3bd'4g2a2|e4d4B4A4
239,d4efd'2gafee2de|A2d2d2g2e2d2d4|d4e2baegfeded2|egf2d4A4A4||d4fed'2a2fge2d2|A2d2edfgfed2d4|d4gegaagfge2AB|ge2fed3A2GAG2Bd||efd'bbd'3e'd'3d'4|d'2fgd'2e2g4d'2g2|e3ga2bgbd'2e'd'4|abage2d2B2A2G2d2||e2d'2d'4d'2a2d'4|d'2a2abgff2a2d'2g2|f2g2g2d'aa2d'2d'2a2|a2g2e2d2B2A2A4
240,A3GfgBdd4A2de|d2BAA2B2e2B2d2B2|e2d2f2d2d2fgd2B2|d2B2d4d2A2B2A2||A4f2B2d4A2d2|d2BAA2dBe2B2d2B2|e4fed2d2gfd2B2|d2ABd4d2A2A2B2||d'a2d'b2e2e2f2d2e2|f2A2e2A2d2A2ABd2|d'2f2a2d2f2e2g2e2|d4d4d2A2A2d2||d'b2d'a2e2f4d2e2|e2B2d2A2d2A2B2d2|f3ee4e4e4|e2d2d4d2A2B4
241,d2A2e2f2g2e2d2e2|e2d2ede2gafed2A2|g2e2f2d2g2f2d4|e4d2efe2d2d4||d2A2e2f2g2e2d2e2|e2d2e3fa2e2d2A2|g2e2f2d2a2e2d4|e4d2e2e2d2d4||d'2bd'd'bd'2b2a2f2a2|a2b2abd'2fga2abab|f'2e'2e'2d'2a2g2d2e2|e2f2d2gfe2d2d4||d'4b2d'2bd'a2f2a2|a2b2a2d'2f2a2a2d2|e2g2g2f2f2g2d2e2|e2f2d2gfe2d2d4
242,F2EDG2F2d3ee4|d4e2d2d2A2A4|d4d2BAf2g2e2d2|d4A2d2d2B2B2A2||EFEDG2E2d4e4|d4e2d2d2A2A4|d4d2A2gfg2e2d2|d4A2d2d2B2ABA2||a4a2g2g2f2e4|f2gaa2gaf2g2ga3|aba2d'2a2a2g2e2d2|d4A2d2B4A4||a4a2g2g2f2de3|g4a2g2f2g2a2ba|a4d'2a2a4e2d2|d4A2d2B4A4
